From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P12429	P12429	reviewed	ANXA3_HUMAN	Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)	ANXA3 ANX3	Homo sapiens (Human)	323
P12956	P12956	reviewed	XRCC6_HUMAN	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609
P13010	P13010	reviewed	XRCC5_HUMAN	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRCC5 G22P2	Homo sapiens (Human)	732
P18583	P18583	reviewed	SON_HUMAN	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426
P18669	P18669	reviewed	PGAM1_HUMAN	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)	PGAM1 PGAMA CDABP0006	Homo sapiens (Human)	254
P18754	P18754	reviewed	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
P20073	P20073	reviewed	ANXA7_HUMAN	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	ANXA7 ANX7 SNX OK/SW-cl.95	Homo sapiens (Human)	488
P22314	P22314	reviewed	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058
P23193	P23193	reviewed	TCEA1_HUMAN	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301
P25205	P25205	reviewed	MCM3_HUMAN	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	MCM3	Homo sapiens (Human)	808
P25815	P25815	reviewed	S100P_HUMAN	Protein S100-P (Migration-inducing gene 9 protein) (MIG9) (Protein S100-E) (S100 calcium-binding protein P)	S100P S100E	Homo sapiens (Human)	95
P26368	P26368	reviewed	U2AF2_HUMAN	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
P26583	P26583	reviewed	HMGB2_HUMAN	High mobility group protein B2 (High mobility group protein 2) (HMG-2)	HMGB2 HMG2	Homo sapiens (Human)	209
P27695	P27695	reviewed	APEX1_HUMAN	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.11.2) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318
P29401	P29401	reviewed	TKT_HUMAN	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)	623
P30041	P30041	reviewed	PRDX6_HUMAN	Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12)	PRDX6 AOP2 KIAA0106	Homo sapiens (Human)	224
P30086	P30086	reviewed	PEBP1_HUMAN	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187
P33240	P33240	reviewed	CSTF2_HUMAN	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	CSTF2	Homo sapiens (Human)	577
P33991	P33991	reviewed	MCM4_HUMAN	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	MCM4 CDC21	Homo sapiens (Human)	863
P33992	P33992	reviewed	MCM5_HUMAN	DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)	MCM5 CDC46	Homo sapiens (Human)	734
P33993	P33993	reviewed	MCM7_HUMAN	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)	MCM7 CDC47 MCM2	Homo sapiens (Human)	719
P35659	P35659	reviewed	DEK_HUMAN	Protein DEK	DEK	Homo sapiens (Human)	375
P36871	P36871	reviewed	PGM1_HUMAN	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1	Homo sapiens (Human)	562
P39748	P39748	reviewed	FEN1_HUMAN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)	FEN1 RAD2	Homo sapiens (Human)	380
P25337	P25337	reviewed	BUD31_YEAST	Pre-mRNA-splicing factor BUD31 (Bud site selection protein 31) (Complexed with CEF1 protein 14)	BUD31 CWC14 YCR063W YCR63W YCR903	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157
P43243	P43243	reviewed	MATR3_HUMAN	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847
P43246	P43246	reviewed	MSH2_HUMAN	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	Homo sapiens (Human)	934
P49321	P49321	reviewed	NASP_HUMAN	Nuclear autoantigenic sperm protein (NASP)	NASP	Homo sapiens (Human)	788
P49736	P49736	reviewed	MCM2_HUMAN	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
P49750	P49750	reviewed	YLPM1_HUMAN	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	YLPM1 C14orf170 ZAP3	Homo sapiens (Human)	2146
P49756	P49756	reviewed	RBM25_HUMAN	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	RBM25 RNPC7	Homo sapiens (Human)	843
P49773	P49773	reviewed	HINT1_HUMAN	Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)	HINT1 HINT PKCI1 PRKCNH1	Homo sapiens (Human)	126
P51858	P51858	reviewed	HDGF_HUMAN	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF HMG1L2	Homo sapiens (Human)	240
P52298	P52298	reviewed	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)	NCBP2 CBP20 PIG55	Homo sapiens (Human)	156
P52701	P52701	reviewed	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
P52888	P52888	reviewed	THOP1_HUMAN	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78)	THOP1	Homo sapiens (Human)	689
P55081	P55081	reviewed	MFAP1_HUMAN	Microfibrillar-associated protein 1 (Spliceosome B complex protein MFAP1)	MFAP1	Homo sapiens (Human)	439
P61204	P61204	reviewed	ARF3_HUMAN	ADP-ribosylation factor 3	ARF3	Homo sapiens (Human)	181
P61289	P61289	reviewed	PSME3_HUMAN	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	PSME3	Homo sapiens (Human)	254
P62826	P62826	reviewed	RAN_HUMAN	GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216
P62993	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
P62995	P62995	reviewed	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
P63208	P63208	reviewed	SKP1_HUMAN	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
P78332	P78332	reviewed	RBM6_HUMAN	RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3)	RBM6 DEF3	Homo sapiens (Human)	1123
P78527	P78527	reviewed	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
P82979	P82979	reviewed	SARNP_HUMAN	SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)	SARNP HCC1 HSPC316	Homo sapiens (Human)	210
P84089	P84089	reviewed	ERH_MOUSE	Enhancer of rudimentary homolog (Mer)	Erh	Mus musculus (Mouse)	104
P84103	P84103	reviewed	SRSF3_HUMAN	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
Q01081	Q01081	reviewed	U2AF1_HUMAN	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	U2AF1 U2AF35 U2AFBP FP793	Homo sapiens (Human)	240
Q01105	Q01105	reviewed	SET_HUMAN	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
Q01130	Q01130	reviewed	SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221
Q05048	Q05048	reviewed	CSTF1_HUMAN	Cleavage stimulation factor subunit 1 (CF-1 50 kDa subunit) (Cleavage stimulation factor 50 kDa subunit) (CSTF 50 kDa subunit) (CstF-50)	CSTF1	Homo sapiens (Human)	431
Q07955	Q07955	reviewed	SRSF1_HUMAN	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
Q08170	Q08170	reviewed	SRSF4_HUMAN	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
O70133	O70133	reviewed	DHX9_MOUSE	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA)	Dhx9 Ddx9	Mus musculus (Mouse)	1380
Q08945	Q08945	reviewed	SSRP1_HUMAN	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	Homo sapiens (Human)	709
Q08J23	Q08J23	reviewed	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-, EC 2.1.1.203) (tRNA methyltransferase 4 homolog) (hTrm4)	NSUN2 SAKI TRM4	Homo sapiens (Human)	767
Q09161	Q09161	reviewed	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)	NCBP1 CBP80 NCBP	Homo sapiens (Human)	790
Q10570	Q10570	reviewed	CPSF1_HUMAN	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	CPSF1 CPSF160	Homo sapiens (Human)	1443
Q12874	Q12874	reviewed	SF3A3_HUMAN	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
Q12905	Q12905	reviewed	ILF2_HUMAN	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	390
Q12906	Q12906	reviewed	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
Q12996	Q12996	reviewed	CSTF3_HUMAN	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3	Homo sapiens (Human)	717
Q13242	Q13242	reviewed	SRSF9_HUMAN	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C	Homo sapiens (Human)	221
O35326	O35326	reviewed	SRSF5_MOUSE	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	Srsf5 Hrs Sfrs5	Mus musculus (Mouse)	269
Q13247	Q13247	reviewed	SRSF6_HUMAN	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)	SRSF6 SFRS6 SRP55	Homo sapiens (Human)	344
Q13427	Q13427	reviewed	PPIG_HUMAN	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)	PPIG	Homo sapiens (Human)	754
Q13435	Q13435	reviewed	SF3B2_HUMAN	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	SF3B2 SAP145	Homo sapiens (Human)	895
Q13526	Q13526	reviewed	PIN1_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
Q13573	Q13573	reviewed	SNW1_HUMAN	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	Homo sapiens (Human)	536
Q13619	Q13619	reviewed	CUL4A_HUMAN	Cullin-4A (CUL-4A)	CUL4A	Homo sapiens (Human)	759
Q14011	Q14011	reviewed	CIRBP_HUMAN	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	Homo sapiens (Human)	172
Q14151	Q14151	reviewed	SAFB2_HUMAN	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953
Q14498	Q14498	reviewed	RBM39_HUMAN	RNA-binding protein 39 (CAPER alpha) (CAPERalpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	RBM39 HCC1 RNPC2	Homo sapiens (Human)	530
Q14527	Q14527	reviewed	HLTF_HUMAN	Helicase-like transcription factor (EC 2.3.2.27) (EC 3.6.4.-) (DNA-binding protein/plasminogen activator inhibitor 1 regulator) (HIP116) (RING finger protein 80) (RING-type E3 ubiquitin transferase HLTF) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3) (Sucrose nonfermenting protein 2-like 3)	HLTF HIP116A RNF80 SMARCA3 SNF2L3 ZBU1	Homo sapiens (Human)	1009
Q14562	Q14562	reviewed	DHX8_HUMAN	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	DHX8 DDX8	Homo sapiens (Human)	1220
Q14566	Q14566	reviewed	MCM6_HUMAN	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	MCM6	Homo sapiens (Human)	821
Q14683	Q14683	reviewed	SMC1A_HUMAN	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1	Homo sapiens (Human)	1233
Q14839	Q14839	reviewed	CHD4_HUMAN	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	CHD4	Homo sapiens (Human)	1912
Q14980	Q14980	reviewed	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA	Homo sapiens (Human)	2115
Q15020	Q15020	reviewed	SART3_HUMAN	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein)	SART3 KIAA0156 TIP110	Homo sapiens (Human)	963
Q15287	Q15287	reviewed	RNPS1_HUMAN	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
Q15393	Q15393	reviewed	SF3B3_HUMAN	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	SF3B3 KIAA0017 SAP130	Homo sapiens (Human)	1217
Q15428	Q15428	reviewed	SF3A2_HUMAN	Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)	SF3A2 SAP62	Homo sapiens (Human)	464
Q15459	Q15459	reviewed	SF3A1_HUMAN	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	SF3A1 SAP114	Homo sapiens (Human)	793
Q16531	Q16531	reviewed	DDB1_HUMAN	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	Homo sapiens (Human)	1140
Q16576	Q16576	reviewed	RBBP7_HUMAN	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	RBBP7 RBAP46	Homo sapiens (Human)	425
Q16629	Q16629	reviewed	SRSF7_HUMAN	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	SRSF7 SFRS7	Homo sapiens (Human)	238
Q16630	Q16630	reviewed	CPSF6_HUMAN	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)	CPSF6 CFIM68	Homo sapiens (Human)	551
Q29RF7	Q29RF7	reviewed	PDS5A_HUMAN	Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)	PDS5A KIAA0648 PDS5 PIG54	Homo sapiens (Human)	1337
Q2NL82	Q2NL82	reviewed	TSR1_HUMAN	Pre-rRNA-processing protein TSR1 homolog	TSR1 KIAA1401	Homo sapiens (Human)	804
Q2TAY7	Q2TAY7	reviewed	SMU1_HUMAN	WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog) [Cleaved into: WD40 repeat-containing protein SMU1, N-terminally processed]	SMU1	Homo sapiens (Human)	513
Q5T8P6	Q5T8P6	reviewed	RBM26_HUMAN	RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26)	RBM26 C13orf10 PRO1777	Homo sapiens (Human)	1007
Q6P1J9	Q6P1J9	reviewed	CDC73_HUMAN	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	CDC73 C1orf28 HRPT2	Homo sapiens (Human)	531
Q6PD62	Q6PD62	reviewed	CTR9_HUMAN	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1	Homo sapiens (Human)	1173
Q6UXN9	Q6UXN9	reviewed	WDR82_HUMAN	WD repeat-containing protein 82	WDR82 SWD2 TMEM113 WDR82A UNQ9342/PRO34047	Homo sapiens (Human)	313
Q7L1Q6	Q7L1Q6	reviewed	5MP2_HUMAN	eIF5-mimic protein 2 (Basic leucine zipper and W2 domain-containing protein 1) (Protein Orf)	BZW1 5MP2 BZAP45 KIAA0005	Homo sapiens (Human)	419
Q7L4I2	Q7L4I2	reviewed	RSRC2_HUMAN	Arginine/serine-rich coiled-coil protein 2	RSRC2	Homo sapiens (Human)	434
Q7Z6E9	Q7Z6E9	reviewed	RBBP6_HUMAN	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	RBBP6 P2PR PACT RBQ1 My038	Homo sapiens (Human)	1792
Q86VP6	Q86VP6	reviewed	CAND1_HUMAN	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)	1230
Q86XP3	Q86XP3	reviewed	DDX42_HUMAN	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125)	DDX42	Homo sapiens (Human)	938
